StudentID,JTE-234,ATE-003,TGL-013,PPL-239,WDM-974,GHL-823,HLU-200,MON-014,FEA-907,LPG-307,TSO-010,LDE-009,JJP-001,MTE-004,LUU-003,LOE-103,PLO-132,BKO-800,SLE-332,BKO-801,DSE-003,DSE-005,ATE-014,JTW-004,ATE-008,DSE-007,ATE-214,JHF-101,KMO-007,WOT-104
1001204,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1000405,NG,6.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,5.0,NG,7.0,NG,5.0,NG,NG,6.0,NG,NG,NG,NG,6.0,5.0,NG,NG,NG,
1002183,NG,10.0,8.0,7.0,NG,NG,NG,8.0,8.0,8.0,NG,NG,NG,8.0,7.0,9.0,NG,8.0,8.0,NG,9.0,NG,NG,8.0,7.0,8.0,8.0,NG,NG,7.0,
1001500,NG,9.0,7.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,7.0,9.0,NG,9.0,NG,NG,7.0,7.0,7.0,9.0,NG,NG,7.0,
1001940,NG,8.0,7.0,7.0,NG,NG,NG,7.0,9.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,7.0,8.0,NG,7.0,NG,NG,7.0,7.0,7.0,8.0,NG,NG,7.0,
1001357,NG,8.0,8.0,7.0,NG,NG,NG,8.0,7.0,8.0,NG,NG,NG,8.0,7.0,8.0,NG,7.0,8.0,NG,8.0,NG,NG,9.0,6.0,7.0,8.0,NG,NG,8.0,
1000784,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,6.0,NG,NG,8.0,NG,NG,NG,NG,6.0,9.0,NG,NG,NG,
1000952,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,8.0,NG,NG,6.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1002451,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,NG,9.0,8.0,9.0,8.0,10.0,NG,8.0,9.0,NG,10.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,
1001549,NG,10.0,7.0,8.0,NG,NG,NG,8.0,9.0,8.0,NG,NG,NG,9.0,8.0,7.0,NG,8.0,9.0,NG,8.0,NG,NG,8.0,7.0,8.0,9.0,NG,NG,7.0,
1002480,7.0,9.0,7.0,7.0,8.0,7.0,8.0,8.0,8.0,9.0,NG,8.0,7.0,7.0,8.0,8.0,NG,6.0,7.0,NG,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,9.0,8.0,
1000307,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,6.0,NG,NG,5.0,NG,NG,NG,NG,5.0,8.0,NG,NG,NG,
1002260,NG,8.0,4.0,6.0,NG,NG,NG,5.0,7.0,6.0,NG,NG,7.0,7.0,NG,6.0,NG,6.0,7.0,NG,6.0,7.0,NG,6.0,4.0,6.0,8.0,NG,NG,4.0,
1001933,NG,7.0,5.0,6.0,NG,NG,NG,5.0,8.0,6.0,NG,NG,NG,7.0,6.0,6.0,NG,6.0,6.0,NG,6.0,NG,NG,7.0,6.0,6.0,7.0,NG,NG,4.0,
1002300,9.0,9.0,6.0,6.0,7.0,5.0,7.0,7.0,9.0,8.0,NG,6.0,7.0,9.0,7.0,7.0,NG,7.0,9.0,NG,8.0,9.0,6.0,6.0,6.0,7.0,8.0,7.0,6.0,7.0,
1000744,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1001200,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,6.0,NG,NG,7.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1002313,8.0,9.0,7.0,7.0,7.0,7.0,9.0,8.0,8.0,8.0,NG,8.0,8.0,8.0,8.0,9.0,NG,7.0,9.0,NG,9.0,9.0,7.0,8.0,7.0,8.0,8.0,8.0,7.0,8.0,
1002226,8.0,8.0,7.0,7.0,8.0,7.0,9.0,7.0,8.0,9.0,NG,7.0,9.0,7.0,8.0,8.0,NG,9.0,8.0,NG,8.0,8.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,9.0,
1002692,NG,6.0,7.0,6.0,NG,NG,NG,6.0,6.0,6.0,NG,NG,6.0,6.0,NG,6.0,NG,4.0,5.0,NG,6.0,6.0,NG,6.0,NG,4.0,6.0,NG,NG,5.0,
1000772,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1002105,NG,8.0,5.0,7.0,NG,NG,NG,6.0,8.0,6.0,NG,NG,NG,9.0,6.0,6.0,NG,7.0,7.0,NG,6.0,NG,NG,7.0,6.0,6.0,8.0,NG,NG,6.0,
1002080,NG,7.0,6.0,6.0,NG,NG,NG,6.0,8.0,6.0,NG,NG,NG,7.0,7.0,7.0,NG,7.0,7.0,NG,7.0,NG,NG,7.0,6.0,6.0,9.0,NG,NG,6.0,
1002151,NG,8.0,8.0,6.0,NG,NG,NG,8.0,9.0,9.0,NG,NG,NG,9.0,8.0,9.0,NG,7.0,9.0,NG,9.0,NG,NG,7.0,7.0,7.0,9.0,NG,NG,9.0,
1002485,NG,7.0,6.0,6.0,NG,NG,NG,5.0,6.0,6.0,NG,NG,6.0,6.0,6.0,5.0,NG,6.0,6.0,NG,4.0,7.0,NG,7.0,6.0,6.0,6.0,5.0,NG,4.0,
1001052,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,9.0,9.0,NG,NG,NG,
1000889,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1002827,7.0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,8.0,7.0,NG,7.0,7.0,6.0,8.0,7.0,NG,6.0,7.0,NG,6.0,7.0,7.0,8.0,7.0,7.0,8.0,7.0,7.0,7.0,
1000196,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,6.0,NG,NG,7.0,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,
1002460,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,10.0,NG,9.0,8.0,6.0,8.0,8.0,NG,7.0,7.0,NG,7.0,7.0,8.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,
1002167,NG,10.0,6.0,9.0,NG,NG,NG,NG,10.0,8.0,NG,NG,NG,9.0,8.0,8.0,NG,8.0,10.0,NG,9.0,NG,NG,7.0,6.0,8.0,9.0,NG,NG,7.0,
1002445,7.0,9.0,7.0,9.0,6.0,8.0,7.0,7.0,8.0,9.0,NG,8.0,8.0,8.0,8.0,6.0,NG,8.0,7.0,NG,6.0,9.0,8.0,9.0,6.0,8.0,7.0,7.0,9.0,6.0,
1002530,8.0,8.0,6.0,7.0,6.0,6.0,8.0,6.0,8.0,6.0,NG,6.0,8.0,7.0,7.0,7.0,NG,6.0,8.0,NG,8.0,8.0,5.0,6.0,6.0,6.0,8.0,6.0,6.0,8.0,
1001523,NG,9.0,7.0,8.0,NG,NG,NG,8.0,8.0,9.0,NG,NG,NG,7.0,8.0,9.0,NG,7.0,8.0,NG,7.0,NG,NG,8.0,7.0,7.0,9.0,NG,NG,7.0,
1002602,7.0,9.0,4.0,7.0,6.0,6.0,7.0,6.0,9.0,7.0,NG,6.0,9.0,8.0,7.0,7.0,NG,7.0,9.0,NG,8.0,10.0,6.0,8.0,6.0,7.0,9.0,6.0,8.0,7.0,
1001973,NG,6.0,5.0,6.0,NG,NG,NG,5.0,6.0,6.0,NG,NG,NG,6.0,NG,5.0,NG,6.0,5.0,NG,6.0,NG,NG,6.0,4.0,5.0,6.0,NG,NG,4.0,
1000689,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1002799,8.0,8.0,8.0,8.0,7.0,7.0,9.0,7.0,8.0,9.0,NG,8.0,8.0,8.0,7.0,8.0,NG,7.0,7.0,NG,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,6.0,7.0,
1000432,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,6.0,NG,NG,8.0,NG,NG,NG,NG,5.0,8.0,NG,NG,NG,
1002187,NG,6.0,7.0,6.0,NG,NG,NG,7.0,6.0,7.0,NG,NG,NG,6.0,NG,6.0,NG,4.0,6.0,NG,4.0,NG,NG,7.0,NG,5.0,5.0,NG,NG,5.0,
1000561,NG,6.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,7.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,6.0,7.0,NG,NG,NG,
1000994,NG,6.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,5.0,NG,6.0,NG,5.0,NG,NG,6.0,NG,NG,NG,NG,6.0,6.0,NG,NG,NG,
1001122,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,5.0,NG,5.0,NG,NG,5.0,NG,NG,NG,NG,5.0,7.0,NG,NG,NG,
1001795,NG,10.0,6.0,7.0,NG,NG,NG,7.0,9.0,7.0,NG,NG,NG,9.0,7.0,8.0,NG,7.0,9.0,NG,8.0,NG,NG,7.0,7.0,7.0,9.0,NG,NG,7.0,
1001079,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,5.0,NG,NG,7.0,NG,NG,NG,NG,7.0,6.0,NG,NG,NG,
1001005,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,10.0,NG,NG,NG,
1002476,8.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,NG,8.0,8.0,9.0,9.0,8.0,NG,8.0,9.0,NG,7.0,10.0,8.0,10.0,7.0,9.0,9.0,7.0,8.0,7.0,
1000501,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1001527,NG,8.0,7.0,7.0,NG,NG,NG,7.0,6.0,7.0,NG,NG,NG,8.0,7.0,8.0,NG,7.0,8.0,NG,8.0,NG,NG,7.0,6.0,7.0,8.0,NG,NG,6.0,
1002398,7.0,7.0,7.0,6.0,7.0,7.0,7.0,8.0,6.0,7.0,NG,7.0,7.0,6.0,8.0,7.0,NG,6.0,6.0,NG,7.0,6.0,6.0,8.0,7.0,6.0,7.0,7.0,6.0,8.0,
1001477,NG,6.0,7.0,6.0,NG,NG,NG,6.0,6.0,7.0,NG,NG,NG,6.0,NG,6.0,NG,5.0,5.0,NG,6.0,NG,NG,7.0,NG,5.0,6.0,NG,NG,6.0,
1002517,8.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,8.0,8.0,NG,8.0,7.0,7.0,7.0,8.0,NG,7.0,8.0,NG,8.0,8.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,8.0,
1002640,7.0,9.0,7.0,7.0,6.0,6.0,8.0,6.0,9.0,7.0,NG,6.0,7.0,8.0,7.0,7.0,NG,6.0,7.0,NG,7.0,9.0,6.0,8.0,6.0,7.0,8.0,6.0,8.0,6.0,
1000044,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,6.0,NG,5.0,NG,NG,7.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1001251,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,6.0,NG,NG,7.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1002164,NG,8.0,6.0,7.0,NG,NG,NG,7.0,8.0,7.0,NG,NG,NG,7.0,8.0,6.0,NG,7.0,7.0,NG,6.0,NG,NG,7.0,6.0,7.0,7.0,NG,NG,5.0,
1001925,NG,8.0,6.0,6.0,NG,NG,NG,6.0,8.0,7.0,NG,NG,NG,6.0,6.0,8.0,NG,7.0,8.0,NG,8.0,NG,NG,6.0,6.0,6.0,8.0,NG,NG,8.0,
1001421,NG,7.0,8.0,8.0,NG,NG,NG,7.0,7.0,8.0,NG,NG,NG,7.0,9.0,7.0,NG,6.0,7.0,NG,6.0,NG,NG,9.0,7.0,7.0,7.0,NG,NG,7.0,
1000311,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,9.0,NG,8.0,NG,NG,7.0,NG,NG,NG,NG,7.0,9.0,NG,NG,NG,
1000720,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,8.0,NG,NG,NG,
1001619,NG,6.0,6.0,7.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,6.0,6.0,NG,6.0,NG,NG,7.0,6.0,6.0,6.0,NG,NG,6.0,
1002571,7.0,8.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,NG,7.0,7.0,7.0,7.0,7.0,NG,6.0,7.0,NG,7.0,7.0,6.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0,
1000823,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,6.0,NG,NG,7.0,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,
1000721,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,6.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,
1001641,NG,8.0,7.0,7.0,NG,NG,NG,7.0,8.0,8.0,NG,NG,NG,7.0,8.0,7.0,NG,7.0,8.0,NG,7.0,NG,NG,8.0,7.0,9.0,9.0,NG,NG,6.0,
1002481,7.0,7.0,6.0,6.0,7.0,7.0,6.0,6.0,8.0,6.0,NG,6.0,8.0,7.0,7.0,8.0,NG,6.0,7.0,NG,7.0,8.0,5.0,7.0,6.0,6.0,8.0,6.0,6.0,6.0,
1000717,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,5.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1002317,8.0,9.0,7.0,9.0,7.0,8.0,8.0,7.0,10.0,9.0,NG,7.0,10.0,9.0,7.0,8.0,NG,8.0,10.0,NG,10.0,9.0,7.0,8.0,8.0,8.0,9.0,7.0,7.0,8.0,
1001911,NG,9.0,7.0,8.0,NG,NG,NG,6.0,10.0,7.0,NG,NG,NG,9.0,7.0,7.0,NG,8.0,8.0,NG,7.0,NG,NG,8.0,6.0,8.0,9.0,NG,NG,6.0,
1002415,9.0,9.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,8.0,NG,8.0,7.0,6.0,9.0,7.0,NG,6.0,8.0,NG,7.0,8.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,7.0,
1001613,NG,8.0,8.0,7.0,NG,NG,NG,7.0,7.0,9.0,NG,NG,NG,6.0,8.0,7.0,NG,7.0,6.0,NG,6.0,NG,NG,8.0,6.0,9.0,7.0,NG,NG,6.0,
1001144,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,6.0,7.0,NG,NG,NG,
1000320,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,7.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1000938,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,9.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,7.0,NG,NG,NG,
1000390,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,10.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1002241,8.0,9.0,6.0,8.0,6.0,6.0,7.0,6.0,9.0,8.0,NG,7.0,8.0,8.0,8.0,7.0,NG,7.0,9.0,NG,7.0,8.0,6.0,7.0,6.0,7.0,9.0,6.0,7.0,6.0,
1002734,8.0,7.0,6.0,6.0,6.0,5.0,8.0,7.0,9.0,6.0,NG,5.0,9.0,8.0,7.0,7.0,NG,7.0,8.0,NG,8.0,9.0,6.0,7.0,6.0,6.0,8.0,7.0,6.0,7.0,
1002047,NG,7.0,6.0,7.0,NG,NG,NG,7.0,7.0,7.0,NG,NG,NG,6.0,8.0,6.0,NG,6.0,6.0,NG,6.0,NG,NG,7.0,6.0,6.0,8.0,NG,NG,5.0,
1002054,NG,8.0,6.0,6.0,NG,NG,NG,7.0,8.0,8.0,NG,NG,NG,7.0,7.0,7.0,NG,7.0,8.0,NG,6.0,NG,NG,7.0,6.0,6.0,8.0,NG,NG,6.0,
1000522,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,7.0,NG,NG,7.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1001920,NG,7.0,9.0,8.0,NG,NG,NG,8.0,7.0,9.0,NG,NG,NG,6.0,8.0,8.0,NG,6.0,7.0,NG,7.0,NG,NG,8.0,7.0,7.0,6.0,NG,NG,7.0,
1000136,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,5.0,NG,5.0,NG,6.0,NG,NG,4.0,NG,NG,NG,NG,7.0,7.0,NG,NG,NG,
1000776,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,5.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,5.0,7.0,NG,NG,NG,
1000847,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,8.0,NG,6.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1000567,NG,10.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,8.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1000737,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,7.0,NG,7.0,NG,NG,9.0,NG,NG,NG,NG,6.0,7.0,NG,NG,NG,
1001808,NG,6.0,5.0,6.0,NG,NG,NG,6.0,6.0,6.0,NG,NG,NG,6.0,NG,6.0,NG,4.0,5.0,NG,6.0,NG,NG,5.0,NG,5.0,6.0,NG,NG,6.0,
1001728,NG,6.0,6.0,6.0,NG,NG,NG,6.0,6.0,6.0,NG,NG,NG,6.0,NG,6.0,NG,4.0,5.0,NG,6.0,NG,NG,5.0,NG,5.0,6.0,NG,NG,5.0,
1001175,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,6.0,NG,7.0,NG,NG,6.0,NG,NG,NG,NG,6.0,7.0,NG,NG,NG,
1000137,NG,6.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,6.0,NG,6.0,NG,5.0,NG,NG,5.0,NG,NG,NG,NG,5.0,7.0,NG,NG,NG,
1000603,NG,7.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,9.0,NG,7.0,NG,NG,8.0,NG,NG,NG,NG,7.0,8.0,NG,NG,NG,
1002434,7.0,8.0,6.0,6.0,7.0,5.0,6.0,6.0,7.0,7.0,NG,6.0,6.0,7.0,8.0,6.0,NG,7.0,7.0,NG,6.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,9.0,5.0,
1002812,NG,6.0,6.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,7.0,7.0,6.0,6.0,NG,6.0,6.0,NG,7.0,7.0,NG,6.0,6.0,5.0,7.0,6.0,NG,6.0,
1002285,10.0,10.0,7.0,7.0,8.0,7.0,8.0,8.0,9.0,7.0,NG,8.0,9.0,8.0,8.0,9.0,NG,8.0,9.0,NG,8.0,9.0,7.0,8.0,7.0,7.0,9.0,8.0,7.0,8.0,
1000049,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,8.0,NG,6.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,5.0,8.0,NG,NG,NG,
1000503,NG,6.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,6.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1001562,NG,7.0,6.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,NG,7.0,6.0,6.0,NG,6.0,6.0,NG,6.0,NG,NG,7.0,6.0,7.0,7.0,NG,NG,4.0,
1000713,NG,8.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,7.0,NG,6.0,NG,6.0,NG,NG,7.0,NG,NG,NG,NG,6.0,8.0,NG,NG,NG,
1000723,NG,9.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,9.0,NG,5.0,NG,8.0,NG,NG,8.0,NG,NG,NG,NG,8.0,9.0,NG,NG,NG,
1002229,7.0,9.0,6.0,7.0,7.0,6.0,6.0,8.0,10.0,6.0,NG,7.0,9.0,10.0,7.0,7.0,NG,9.0,9.0,NG,8.0,9.0,5.0,8.0,6.0,7.0,10.0,6.0,8.0,6.0,
1001606,NG,6.0,7.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,NG,8.0,NG,7.0,NG,7.0,6.0,NG,8.0,NG,NG,6.0,5.0,6.0,7.0,NG,NG,7.0,
1000477,NG,6.0,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,6.0,NG,6.0,NG,6.0,NG,NG,6.0,NG,NG,NG,NG,6.0,7.0,NG,NG,NG,
1001461,NG,6.0,5.0,6.0,NG,NG,NG,6.0,7.0,6.0,NG,NG,NG,7.0,6.0,6.0,NG,6.0,6.0,NG,6.0,NG,NG,6.0,6.0,6.0,7.0,NG,NG,6.0,
1002259,7.0,9.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,9.0,NG,7.0,6.0,6.0,7.0,6.0,NG,7.0,8.0,NG,7.0,8.0,6.0,7.0,6.0,7.0,8.0,7.0,8.0,6.0,
